#    X_IMAGE      Y_IMAGE    X_WORLD    Y_WORLD    FLUX_STACK        FLUX_0        FLUX_1        FLUX_2        FLUX_3        FLUX_4        MEDIAN         SNR
  567.965271   728.710449  49.992395  41.377016  5.966126e+04  5.930476e+04  5.884582e+04  5.654014e+04  6.178055e+04  5.841827e+04  5.863205e+04   31.227238
 2587.595215   807.622009  50.095803  41.350763  8.950100e+04  8.426249e+04  8.110980e+04  8.312756e+04  7.699475e+04  7.890915e+04  8.000947e+04   34.729500
 2572.858887   765.434021  50.094248  41.349381  3.397846e+05  3.336014e+05  3.530585e+05  3.685437e+05  3.047112e+05  3.120457e+05  3.325521e+05   12.361486
 2237.135986   692.513672  50.075915  41.351489  4.790802e+05  4.603435e+05  4.831951e+05  4.630277e+05  4.617683e+05  4.619824e+05  4.625051e+05   50.948505
 2216.282227   612.453064  50.073324  41.348762  5.810122e+06  5.339792e+06  5.763890e+06  5.764904e+06  5.745396e+06  5.242673e+06  5.754643e+06   25.770248
 2169.162109   573.443970  50.070197  41.347969  4.898406e+05  1.653288e+05  5.821742e+05  4.740006e+05  7.033558e+05  2.439605e+05  5.280874e+05    3.123529
  989.770447   652.218628  50.012214  41.368022  5.935891e+04  5.863562e+04  5.919690e+04  7.390359e+04  5.474601e+04  5.832250e+04  5.875970e+04    8.017387
 1012.268921   623.089905  50.012790  41.366595  4.750145e+05  4.654778e+05  4.909589e+05  2.691542e+05  4.692811e+05  4.657120e+05  4.674966e+05    5.206410
 1385.118286   624.587463  50.031631  41.361257  2.843922e+05  2.824610e+05  2.779844e+05  2.804098e+05  2.790535e+05  2.813198e+05  2.797316e+05  219.634857
 2346.954834   632.039307  50.080290  41.347609  1.336874e+04  1.256248e+04  1.149187e+04  1.390466e+04  1.218622e+04  1.285872e+04  1.252247e+04   14.071499
 2356.212646   613.328613  50.080397  41.346767  1.763019e+04  2.016819e+04  2.488104e+04  1.610733e+04  1.831138e+04  1.554443e+04  1.720935e+04    4.639524
 1838.068726  2071.075439  50.082302  41.409423  3.532108e+05  3.449115e+05  3.517461e+05  3.510750e+05  3.465863e+05  3.496250e+05  3.503500e+05  176.477469
  904.640259   600.569763  50.006927  41.367299  3.000252e+04  2.826240e+04  2.628963e+04  3.164256e+04  3.041538e+04  3.127566e+04  3.084552e+04   14.449015
 2431.233887   577.657898  50.083494  41.344331  9.428201e+05  9.442823e+05  9.516011e+05  9.379234e+05  9.327314e+05  9.310534e+05  9.353274e+05  115.883684
 1552.531372   595.282166  50.039514  41.357725  2.563686e+04  2.340894e+04  2.820131e+04  2.730378e+04  2.693529e+04  2.347481e+04  2.711953e+04   15.113148
 2381.472412   586.615051  50.081157  41.345391  4.399924e+04  4.497866e+04  4.659734e+04  4.082992e+04  4.149545e+04  4.259342e+04  4.204444e+04   18.793182
 1384.309814   579.745605  50.030729  41.359572  4.432182e+04  3.712368e+04  4.178234e+04  4.198209e+04  4.252627e+04  3.758543e+04  4.188222e+04   21.234098
 1357.469360   533.128235  50.028480  41.358197  2.091228e+06  2.083292e+06  2.099605e+06  2.091195e+06  2.069457e+06  2.070997e+06  2.081096e+06  160.774619
  874.769348   701.774536  50.007362  41.371561  1.168903e+04  9.583895e+03  9.938872e+03  1.214074e+04  1.213974e+04  1.119962e+04  1.166968e+04   12.921011
 1932.489136   502.274780  50.056893  41.348705  5.998498e+05  5.953114e+05  6.001361e+05  6.001048e+05  5.966733e+05  5.950153e+05  5.983890e+05  269.910290
 1203.650269   487.732208  50.019848  41.358704  3.036672e+05  3.025785e+05  3.003061e+05  3.002496e+05  2.990889e+05  3.005194e+05  3.002778e+05  537.347880
 1518.319092   426.044983  50.034538  41.351817  1.242193e+05  1.226131e+05  1.214340e+05  1.225341e+05  1.223258e+05  1.229790e+05  1.224300e+05  217.685746
 1940.924561   389.462830  50.055150  41.344315  3.168772e+05  3.095378e+05  3.086030e+05  3.147578e+05  3.072610e+05  3.093443e+05  3.089736e+05  108.360690
 1965.301392   347.428101  50.055572  41.342371  7.276264e+04  6.778733e+04  7.228052e+04  7.189842e+04  7.464933e+04  7.100180e+04  7.208947e+04   53.483856
 2177.849609   385.076385  50.067014  41.340717  2.978457e+04  3.289815e+04  3.214135e+04  2.998770e+04  2.953962e+04  3.255098e+04  3.106453e+04   23.731993
  670.157959   371.862091  49.990706  41.362034  3.249152e+04  3.020838e+04  3.004545e+04  3.431888e+04  3.274279e+04  3.126600e+04  3.200439e+04   19.989908
 2368.091797   369.416229  50.076306  41.337368  3.462722e+04  3.663519e+04  3.388103e+04  3.258382e+04  3.295921e+04  3.277874e+04  3.286898e+04   66.077147
 1151.646240  2081.475830  50.047848  41.419760  2.564985e+04  2.556703e+04  2.391498e+04  2.685012e+04  2.654356e+04  2.413449e+04  2.533903e+04   18.871871
 1877.118408   392.040039  50.051982  41.345336  1.035459e+05  1.006579e+05  9.955574e+04  1.021962e+05  1.017610e+05  1.046452e+05  1.019786e+05   56.434996
 1856.043335   273.629028  50.048644  41.341161  7.418173e+04  7.262120e+04  6.993662e+04  7.570352e+04  7.248764e+04  7.569652e+04  7.409208e+04   30.636525
  999.798584   265.133728  50.005291  41.353230  1.689905e+05  1.696949e+05  1.695313e+05  1.759840e+05  1.696364e+05  1.671820e+05  1.695838e+05   51.879510
